"workerid","proliferate.condition","choice","correct","gender","lexeme","name","response","trial_id","trial_no","type","subject_information.age","subject_information.asses","subject_information.comments","subject_information.education","subject_information.enjoyment","subject_information.gender","subject_information.gender_q1","subject_information.gender_q10","subject_information.gender_q11","subject_information.gender_q12","subject_information.gender_q13","subject_information.gender_q2","subject_information.gender_q3","subject_information.gender_q4","subject_information.gender_q5","subject_information.gender_q6","subject_information.gender_q7","subject_information.gender_q8","subject_information.gender_q9","subject_information.language","subject_information.party_alignment","subject_information.price","system.Browser","system.OS","system.screenH","system.screenW","time_in_minutes","error","speaker_cond"
769,"Dems","True",NA,"","","","","example",NA,"",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","octopus","filler","octopi","",0,"filler_grammatical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","fish","filler","goldfish","",1,"filler_semantic",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"male","salesperson","David","salesperson","",2,"critical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","definite","filler","a","",3,"filler_grammatical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",1,"attention","mask","attention","is","",4,"test_grammatical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","shipping","filler","delivery","",5,"filler_semantic",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","computer","filler","phone","",6,"filler_semantic",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"male","foreperson","William","foreman","",7,"critical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","tomorrow","filler","tomorrow","",8,"filler_semantic",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"female","firefighter","Kalya","firefighter","",9,"critical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"filler","drink","filler","coffee","",10,"filler_semantic",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",0,"male","layperson","Michael","layperson","",11,"critical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
769,"Dems","",1,"attention","song","attention","sang","",12,"test_grammatical",29,"Yes","",3,1,"Female",100,0,57,0,0,100,100,82,100,49,11,7,0,"English",4,1,"Chrome","Mac",1260,2240,8.72518333333333,NA,"dems"
